STT,Từ vựng,Nghĩa,nextTime,time,S,k,p,sd,w
1,lunch,bữa trưa,06042026-084214,06042026-084214,15.0,1.0,0.0,0.0,0.5
2,T-shirt,Áo thun,06042026-131152,05042026-212745,0.16069744937713087,1.7000000000000006,2.625869405118827,2.907244156574074,0.5
3,fashion,thời trang,06042026-141132,05042026-212727,0.15109984021350523,1.8000000000000007,2.5715670827777775,2.5715670827777775,0.5
4,quiet,im lặng,06042026-150142,06042026-081800,0.3758096903621672,2.000000000000001,0.4547234883796296,0.4547234883796296,0.5
5,wear,mặc,06042026-154607,05042026-212734,0.1381077713547508,1.6000000000000005,2.9095106054629634,2.9095106054629634,0.5
6,clothes,quần áo,06042026-181025,05042026-212753,0.1221046267280456,1.7000000000000006,2.909262526261574,2.9110339769791667,0.5
7,for example,ví dụ như,06042026-182048,05042026-212805,0.12111056948607889,1.6000000000000005,2.9087023027662036,2.9087023027662036,0.5
8,jeans,quần jean,07042026-075759,05042026-212811,0.07330113536353416,1.7000000000000006,2.907923704641204,2.907923704641204,0.5
9,attend,tham gia,08042026-085525,08042026-084915,24.545454545454543,1.1,0.0,2.0052217478935184,0.5
10,peaceful,bình yên,08042026-085544,08042026-084538,15.0,2.000000000000001,0.004125408897058824,0.0041677342824074076,0.5
11,almost,hâu hết,08042026-085911,08042026-084905,15.0,0.9,0.0,0.0,0.5
12,high school,Trường cấp 3,08042026-091901,08042026-084836,4.9863392279828895,1.1,2.0082189185648147,2.0082189185648147,0.5
13,schoolwork,bài tập ở trường,08042026-091913,08042026-084849,4.98938278283064,1.1,2.0063838861226855,2.0063838861226855,0.5
14,go outside,ra ngoài (ra ngoài gì đó thôi),09042026-021623,08042026-084553,0.14442371393403705,1.4000000000000004,4.142665858265542,4.377375351423611,0.5
15,finally,cuối cùng,09042026-022757,08042026-084601,0.14287003387099007,2.000000000000001,2.469693041238426,2.469693041238426,0.5
16,neighbour,hàng xóm,09042026-091214,08042026-084613,0.1034896887156761,1.5000000000000004,4.176664812934599,4.384926832407408,0.5
17,casual clothes,quần áo thường ngày,09042026-134826,08042026-084712,0.08713240276031652,1.9000000000000008,2.834450987062559,4.867756399722222,0.5
18,angry,tức giận,09042026-155404,08042026-084647,0.08125105148175452,1.5000000000000004,3.7886243268055555,4.380197693333333,0.5
19,rest,nghỉ ngơi,09042026-164636,08042026-084631,0.07901642085800993,2.200000000000001,2.470145517326389,2.470145517326389,0.5
20,knock on the door,gõ cửa,09042026-170447,08042026-084700,0.07829462282714825,2.100000000000001,2.4742979808564813,2.4742979808564813,0.5
21,also,ngoài ra/ cũng,09042026-203146,08042026-084620,0.07071671329033986,1.5000000000000004,5.013636736041667,5.013636736041667,0.5
22,shorts,quần đùi,10042026-030904,08042026-084639,0.05967503770382388,1.6000000000000005,4.912954672166457,5.020360946284722,0.5
23,noise,tiếng ồn,10042026-103200,08042026-084819,0.05084951380653555,1.5000000000000004,3.399116846553241,4.384987825173612,0.5
24,communicate,giao tiếp,10042026-133043,05042026-212845,0.022570607016700262,1.7000000000000006,3.2493603314247133,3.39008128505787,0.5
25,each other,lẫn nhau/ của nhau,10042026-205427,08042026-084730,0.042062915084948534,2.000000000000001,4.395547984884259,4.395547984884259,0.5
26,energy,năng lượng,10042026-235112,05042026-212834,0.020662762244465258,1.7000000000000006,3.3907719734259256,3.3907719734259256,0.5
27,noisy,ồn ào,11042026-042808,08042026-084825,0.03737173864054106,1.5000000000000004,4.384882453425926,4.384882453425926,0.5
28,buy,mua,11042026-055651,08042026-084735,0.03656514786885741,2.000000000000001,3.951846746539352,4.3958132253356474,0.5
29,perfect,hoàn hảo,11042026-121449,08042026-084804,0.033516030510388026,1.6000000000000005,5.014893502291667,5.0208731815972225,0.5
30,move in,chuyển vào,11042026-190446,08042026-084811,0.03073362168710662,1.6000000000000005,5.02201035630787,5.02201035630787,0.5
31,shopping malls,trung tâm mua sắm,11042026-224538,08042026-084745,0.029414927012013564,2.100000000000001,4.366522218336763,4.398947511782407,0.5
32,awake,thức giấc,12042026-094511,05042026-212851,0.01618104537210621,1.8000000000000007,3.209478614516204,3.387975674710648,0.5
33,prepare,chuẩn bị,13042026-042813,05042026-212858,0.014450468761277755,1.8000000000000007,3.390665601331018,3.390665601331018,0.5
34,comfortable,thoải mái,17042026-023644,05042026-213557,0.009399730324725138,1.8000000000000007,3.3966853733680553,3.3966853733680553,0.5
35,balance,cân bằng,28042026-080918,08042026-084720,0.0052749896637158036,1.8000000000000007,5.8633212951388884,5.8633212951388884,0.5
